ID,year,job_id,why_left
43,1981,2,5
43,1981,5,1
43,1982,5,4
43,1983,6,6
43,1984,7,5
43,1986,8,5
43,1986,9,5
43,1986,10,4
43,1986,11,5
43,1987,12,1
43,1989,13,6
43,1991,14,6
43,1992,15,4
43,1998,16,6
43,2000,17,5
43,2000,18,5
43,2002,19,5
44,1979,1,6
44,1980,2,6
44,1981,3,4
44,1983,4,7
44,1983,5,7
44,1992,6,5
44,1996,7,4
45,1981,1,5
45,1983,2,7
45,1985,3,5
45,1986,4,5
45,1987,5,1
45,1988,6,5
45,1991,7,1
46,1979,1,6
46,1981,2,5
46,1985,3,3
46,1986,4,5
46,1992,5,5
46,1996,6,5
46,2006,7,6
46,2006,8,5
47,1979,1,5
47,1979,2,5
47,1981,3,1
47,1982,4,5
47,1982,5,5
47,1983,6,4
47,1996,8,6
47,2000,7,1
47,2002,7,1
47,2002,9,1
47,2004,9,1
47,2004,10,1
48,1979,1,5
48,1980,2,5
48,1981,3,5
48,1991,4,6
49,1979,1,1
49,1979,3,5
49,1980,2,5
49,1980,4,5
49,1981,5,1
49,1993,6,5
49,1994,7,1
49,1994,8,1
49,1996,9,6
49,2006,10,1
49,2014,13,1
50,1980,1,5
50,1983,2,7
50,1988,3,4
50,1993,3,4
50,2000,5,3
50,2004,7,1
50,2018,8,1
51,1979,1,5
52,1980,1,1
52,2012,2,5
52,2012,3,5
53,1980,1,5
53,1980,2,1
53,1980,3,6
53,1980,4,3
53,1980,5,1
53,1980,7,5
53,1981,6,1
53,1981,8,2
53,1981,9,2
53,1981,10,5
53,1983,11,7
53,1985,12,5
53,1986,14,5
53,1987,15,5
53,1988,17,5
53,1988,18,5
53,1988,19,5
53,2000,20,6
53,2000,21,6
53,2008,22,-3
53,2010,23,5
53,2012,24,5
54,1980,1,3
54,1980,2,1
54,1984,3,5
54,1987,4,5
54,1996,5,6
54,1998,6,5
54,2010,7,5
54,2010,8,5
54,2010,9,5
54,2010,10,5
56,1980,1,3
56,1980,2,1
56,1981,3,5
57,1979,1,5
57,1979,2,4
57,1980,1,4
57,1980,3,3
57,1982,5,5
57,1983,6,7
57,1984,7,5
57,1984,8,1
57,1984,9,5
57,1984,10,5
57,1985,11,5
57,1985,12,5
57,1986,13,1
57,1987,14,5
57,1988,16,5
57,1991,17,5
57,1996,20,1
57,2002,15,5
57,2006,15,5
57,2006,21,6
57,2008,22,6
57,2012,23,6
57,2016,26,5
57,2016,28,3
57,2014,24,5
58,1979,2,5
58,1979,3,5
58,1980,4,5
58,1980,5,1
58,1991,6,6
58,1993,6,6
59,1979,1,5
59,1979,2,5
59,1979,3,1
59,1979,4,5
59,1980,5,1
59,1980,6,5
59,1983,7,7
60,1980,1,1
60,1980,2,5
60,1980,3,5
60,1982,4,5
60,1982,5,5
60,1983,6,7
60,1985,7,5
60,1988,9,5
60,2000,8,6
61,1979,2,5
61,1979,3,5
61,1980,1,5
61,1980,4,5
61,1980,5,5
61,1980,6,5
61,1982,7,5
61,1983,8,3
61,1983,9,3
61,1987,10,5
61,1987,11,5
61,1987,12,5
61,1989,10,6
61,1989,14,2
61,2008,13,5
62,1980,1,3
62,1980,2,1
62,1981,1,3
62,1982,3,5
62,1983,4,4
62,1984,5,5
62,1984,7,5
62,1984,8,5
62,1985,9,2
62,1985,10,5
62,1986,6,5
62,1987,11,5
62,1988,12,5
62,1989,13,5
62,1991,15,1
62,2008,14,5
62,2018,16,3
63,1980,1,2
63,1980,2,5
63,1980,3,5
63,1981,4,5
63,1981,5,1
63,1985,6,5
63,1993,8,1
63,2004,7,1
64,1979,1,5
64,1980,2,5
64,1980,3,5
64,1980,4,5
64,1981,6,5
64,1982,5,5
64,1982,7,1
64,1984,8,5
